# Server version 0.08 running on 192.168.0.100:8123
# Game ID: 1827
# Board class: hus.HusBoard
# Timeout: 8000
# First Move Timeout: 30000
# Date: Fri May 13 05:40:54 EDT 2016
# Player 1: Player-0, 'MCTS', running on 192.168.0.100
# Player 2: Player-1, 'NegaMaxID', running on 192.168.0.100
START Player-0 MCTS
START Player-1 NegaMaxID
PIT 0 0
PIT 1 20
PIT 0 6
PIT 1 4
PIT 0 22
PIT 1 21
PIT 0 1
PIT 1 24
PIT 0 18
PIT 1 13
PIT 0 24
PIT 1 29
PIT 0 17
PIT 1 25
PIT 0 3
PIT 1 17
PIT 0 19
PIT 1 14
PIT 0 12
PIT 1 21
PIT 0 15
PIT 1 15
PIT 0 16
PIT 1 19
PIT 0 17
PIT 1 0
PIT 0 29
PIT 1 17
PIT 0 27
PIT 1 23
PIT 0 14
PIT 1 22
PIT 0 19
PIT 1 27
PIT 0 23
PIT 1 29
PIT 0 18
PIT 1 24
PIT 0 24
PIT 1 31
PIT 0 26
PIT 1 26
PIT 0 30
PIT 1 30
PIT 0 27
PIT 1 1
PIT 0 4
PIT 1 29
PIT 0 29
PIT 1 28
PIT 0 28
PIT 1 27
PIT 0 10
PIT 1 13
PIT 0 19
PIT 1 25
PIT 0 21
PIT 1 17
PIT 0 27
PIT 1 18
PIT 0 23
PIT 1 1
PIT 0 26
PIT 1 28
PIT 0 27
PIT 1 27
PIT 0 4
PIT 1 31
PIT 0 28
PIT 1 7
PIT 0 29
PIT 1 0
PIT 0 25
PIT 1 3
PIT 0 2
PIT 1 9
PIT 0 14
PIT 1 6
PIT 0 6
PIT 1 7
PIT 0 4
PIT 1 14
PIT 0 26
PIT 1 12
PIT 0 31
PIT 1 8
PIT 0 23
PIT 1 4
PIT 0 26
PIT 1 14
PIT 0 22
PIT 1 11
PIT 0 30
PIT 1 9
PIT 0 0
PIT 1 12
PIT 0 30
PIT 1 13
PIT 0 25
PIT 1 10
PIT 0 17
PIT 1 15
PIT 0 29
PIT 1 11
PIT 0 27
PIT 1 12
PIT 0 30
PIT 1 15
PIT 0 29
GAMEOVER WINNER 0
# Game ended: Fri May 13 05:44:17 EDT 2016
